""	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"13724"	"Bacteria"	"Verrucomicrobiota"	"Kiritimatiellae"	"WCHB1-41"	NA	NA	NA
"13725"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	"Flavobacteriales"	"Crocinitomicaceae"	"Fluviicola"	NA
"13726"	"Bacteria"	"Bacteroidota"	"Kapabacteria"	"Kapabacteriales"	NA	NA	NA
"13727"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Anaerolinea"	NA
"13728"	"Bacteria"	"Cyanobacteria"	"Cyanobacteriia"	NA	NA	NA	NA
"13729"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13730"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13731"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13732"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13733"	"Bacteria"	"Bacteroidota"	"Bacteroidia"	NA	NA	NA	NA
"13734"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	NA	NA	NA	NA
"13735"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13736"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Perlucidibaca"	NA
"13737"	"Bacteria"	"Patescibacteria"	"ABY1"	"Candidatus Magasanikbacteria"	NA	NA	NA
"13738"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13739"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13740"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13741"	"Bacteria"	"Patescibacteria"	"Parcubacteria"	NA	NA	NA	NA
"13742"	"Bacteria"	"Desulfobacterota"	"Syntrophia"	"Syntrophales"	"Syntrophaceae"	"Syntrophus"	NA
"13743"	"Bacteria"	NA	NA	NA	NA	NA	NA
"13744"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"13745"	NA	NA	NA	NA	NA	NA	NA
